text_clean,text_preprocessed
🎉 protokol kesehatan 🎉 pencegahan covid di pameran   surabaya  oktober   icbc   demi keamanan amp  kenyamanan  saat berkunjung dgn berkoordinasi bersama satgas covid kami menerapkan,"['', 'protokol', 'sehat', '', 'cegah', 'covid', 'pamer', 'surabaya', 'oktober', 'icbc', 'aman', 'amp', 'nyaman', 'kunjung', 'dgn', 'koordinasi', 'satgas', 'covid', 'terap']"
kabar munculnya klaster penularan covid di sekolah membuat sebagian dari kita merasa resah  di surabaya  melakukan kontrol ketat terhadap penerapan protokol kesehatan di sekolah yang sudah melaksanakan ptm terbatas  yuk simak video berikut ya rek ☺,"['kabar', 'muncul', 'klaster', 'tular', 'covid', 'sekolah', 'resah', 'surabaya', 'kontrol', 'ketat', 'terap', 'protokol', 'sehat', 'sekolah', 'laksana', 'ptm', 'batas', 'yuk', 'simak', 'video', 'ya', 'rek', '']"
✅arrival ✨ minggu dari tanggal rilis ❗️mohon sabar karena kondisi jalur impoyang delay karna covid❗️ ✅pelunasan saat barang tiba di surabaya ✅pengiriman dari surabaya  ❌belum termasuk ongkir kerumah kamu ❌no cancel dan no refund  wa,"['arrival', '', 'minggu', 'tanggal', 'rilis', 'mohon', 'sabar', 'kondisi', 'jalur', 'impoyang', 'delay', 'karna', 'covid', 'lunas', 'barang', 'surabaya', 'kirim', 'surabaya', 'belum', 'ongkir', 'rumah', 'no', 'cancel', 'no', 'refund', 'wa']"
dan memang kalu saya lihat di surabaya saja penanganan covid sangat luar biasa saya mengapresiasi kinerja pemerintah untuk penanganan covid percepat vaksinasi untuk menjaga masyarakat dari varian baru,"['kalu', 'lihat', 'surabaya', 'tangan', 'covid', 'apresiasi', 'kerja', 'perintah', 'tangan', 'covid', 'cepat', 'vaksinasi', 'jaga', 'masyarakat', 'varian']"
persebaya hanya memainkan  laga dan kompetisi di hentikan karena adanya pandemi covid sebelum musim  bergulir aji sempat membawakan piala gubernur ke surabaya walau itu hanyalah suatu piala pramusim namun piala gubernur jawa timur adalah salah satu pramusim yang,"['baya', 'main', 'laga', 'kompetisi', 'henti', 'pandemi', 'covid', 'musim', 'gulir', 'aji', 'bawa', 'piala', 'gubernur', 'surabaya', 'piala', 'pramusim', 'piala', 'gubernur', 'jawa', 'timur', 'salah', 'pramusim']"
sharing dvd mots one  🎀 dvd  • digipak  disc k ✅ dpk • holo photo ticket set  vhope k ✅ dpk  ✅surabaya ✅arrival ✨ minggu dari tanggal rilis ❗️mohon sabar karena kondisi jalur impoyang delay karna covid❗️,"['sharing', 'dvd', 'mots', 'one', '', 'dvd', '', 'digipak', 'disc', 'k', '', 'dpk', '', 'holo', 'photo', 'ticket', 'set', 'vhope', 'k', '', 'dpk', 'surabaya', 'arrival', '', 'minggu', 'tanggal', 'rilis', 'mohon', 'sabar', 'kondisi', 'jalur', 'impoyang', 'delay', 'karna', 'covid']"
sebagian dari kita mungkin masih ada yang bertanya  kenapa surabaya yang sudah level  sesuai hasil asesmen situasi covid oleh  masih ditetapkan ppkm level  sesuai inmendagri  tahun  oleh    biar ngga salah paham cek infografis berikut ini,"['surabaya', 'level', 'sesuai', 'hasil', 'asesmen', 'situasi', 'covid', 'tetap', 'ppkm', 'level', 'sesuai', 'inmendagri', 'biar', 'ngga', 'salah', 'paham', 'cek', 'infografis']"
secara langsung akibat pandemi covid tapi tenang rek cak kartolo saat ini sudah eksis di dunia digital kalian bisa melihat karya beliau baik dari youtube maupun di instagram       di subscribe yo rek,"['langsung', 'akibat', 'pandemi', 'covid', 'tenang', 'rek', 'cak', 'kartolo', 'eks', 'dunia', 'digital', 'karya', 'beliau', 'youtube', 'instagram', 'subscribe', 'yo', 'rek']"
karena pandemi covid yang belum mereda membuat ekonomi beliau terkena dampaknya  kedatangan saya bertemu beliau adalah untuk memberikan apresiasi atas kiprahnya dalam dunia  di  walaupun saat ini kita masih belum bisa menikmati karyakarya terbaru beliau,"['pandemi', 'covid', 'reda', 'ekonomi', 'beliau', 'kena', 'dampak', 'datang', 'temu', 'beliau', 'apresiasi', 'kiprah', 'dunia', 'nikmat', 'karyakarya', 'baru', 'beliau']"
surabaya raya turun ke level  penanganan covid,"['surabaya', 'raya', 'turun', 'level', 'tangan', 'covid']"
