created_at,id_str,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,text_clean,text_preprocessed
Sat Jul 15 13:06:06 +0000 2023,1680202075198877696,0,0,1,0,in,1231933579413770242,1680202075198877696,portal_surabaya,https://twitter.com/portal_surabaya/status/1680202075198877696,pernah viral pada tahun  hingga  wisata kampung warnawarni di malang ini kini terbengkalai benarkah akibat efek usai pendemi covid,"['viral', 'wisata', 'kampung', 'warnawarni', 'malang', 'bengkalai', 'akibat', 'efek', 'demi', 'covid']"
Fri Jul 14 14:52:08 +0000 2023,1679866372959129601,0,0,0,1,in,1673146197752827905,1679711676793499649,ganjarutkri,https://twitter.com/ganjarutkri/status/1679866372959129601,jykesuma lestari itu wilayah kadrun di jatim bahkan mereka pernah mau ngacak surabaya gara cak eri nutup jembatan suramadu bulan junijuli  masa horror covid  padahal masyarakat surabaya justru setuju dengan penutupan jembatan suramadu,"['jykesuma', 'lestari', 'wilayah', 'kadrun', 'jatim', 'ngacak', 'surabaya', 'gara', 'cak', 'eri', 'nutup', 'jembatan', 'suramadu', 'junijuli', 'horror', 'covid', 'masyarakat', 'surabaya', 'tuju', 'tutup', 'jembatan', 'suramadu']"
Fri Jul 14 05:44:21 +0000 2023,1679728520585674752,0,2,0,0,in,1497302647459966978,1679728520585674752,daywinbet,https://twitter.com/daywinbet/status/1679728520585674752,saksikan live streaming pertandingan sepakbola hanya dengan login di daywinbet amp  dukung tim favoritmu dan pasang taruhanmu hanya di daywinbet   everyday its daywinbet,"['saksi', 'live', 'streaming', 'tanding', 'sepakbola', 'login', 'daywinbet', 'amp', 'dukung', 'tim', 'favorit', 'pasang', 'taruh', 'daywinbet', 'everyday', 'its', 'daywinbet']"
Tue Jul 11 13:01:17 +0000 2023,1678751315357319172,0,0,0,0,in,79237556,1678751315357319172,kompasmuda,https://twitter.com/kompasmuda/status/1678751315357319172,surabaya cross culture international folk art festival yang selama pandemi covid absen dihidupkan lagi tahun ini berlangsung  juli  festival ini meneguhkan diplomasi antarbangsa melalui seni budaya,"['surabaya', 'cross', 'culture', 'international', 'folk', 'art', 'festival', 'pandemi', 'covid', 'absen', 'hidup', 'juli', 'festival', 'teguh', 'diplomasi', 'antarbangsa', 'seni', 'budaya']"
Tue Jul 11 09:15:03 +0000 2023,1678694380004323328,0,0,0,0,in,1291246080269545472,1678694380004323328,ngopibareng_id,https://twitter.com/ngopibareng_id/status/1678694380004323328,komunitas gowes ini sebagian besar anggotanya dari surabaya dan sidoarjo baru terbentuk saat pandemi covid melanda dunia termasuk indonesia,"['komunitas', 'gowes', 'anggota', 'surabaya', 'sidoarjo', 'bentuk', 'pandemi', 'covid', 'landa', 'dunia', 'indonesia']"
Tue Jul 11 07:24:53 +0000 2023,1678666655080087552,0,0,1,1,in,816345224037343232,1678666655080087552,superradioid,https://twitter.com/superradioid/status/1678666655080087552,sr surabaya  setelah sempat terhenti selama  tahun akibat pandemi covid kini surabaya cross culture international folk art festival sccifaf tahun  kembali digelar oleh pemerintah kota pemkot surabaya   pada,"['sr', 'surabaya', 'henti', 'akibat', 'pandemi', 'covid', 'surabaya', 'cross', 'culture', 'international', 'folk', 'art', 'festival', 'sccifaf', 'gelar', 'perintah', 'kota', 'pemkot', 'surabaya']"
Tue Jul 11 05:20:18 +0000 2023,1678635302292795393,0,0,0,0,in,1382170112849899527,1678635302292795393,RSBsby,https://twitter.com/RSBsby/status/1678635302292795393,hallo sahabat rs bhayangkara hs samsoeri mertojoso surabaya kuota vaksinasi covid inavac sudah tersedia  gratiss 😍 yuk buruan yang mau daftar kuota terbatas yaaa pelayanan vaksinasi kami buka setiap hari senin  jumat    wib,"['hallo', 'sahabat', 'rs', 'bhayangkara', 'hs', 'samsoeri', 'mertojoso', 'surabaya', 'kuota', 'vaksinasi', 'covid', 'inavac', 'sedia', 'gratiss', '', 'yuk', 'buru', 'daftar', 'kuota', 'batas', 'yaaa', 'layan', 'vaksinasi', 'buka', 'senin', 'jumat', 'wib']"
Tue Jul 11 00:57:03 +0000 2023,1678569053898838017,0,0,1,1,in,154102750,1678569053898838017,Beritasatu,https://twitter.com/Beritasatu/status/1678569053898838017,setelah terhenti selama  tahun akibat pandemi covid pemkot surabaya kembali menggelar surabaya cross culture international folk art festival sccifaf,"['henti', 'akibat', 'pandemi', 'covid', 'pemkot', 'surabaya', 'gelar', 'surabaya', 'cross', 'culture', 'international', 'folk', 'art', 'festival', 'sccifaf']"
Sun Jul 09 09:09:08 +0000 2023,1677968113781055488,0,0,0,0,in,465458275,1677968113781055488,Disuruh_Iben,https://twitter.com/Disuruh_Iben/status/1677968113781055488,berita prabowo   prabowo subianto subianto puji kepemimpinan jokowi dalam mengendalikan pandemi covid  suara surabaya,"['berita', 'prabowo', 'prabowo', 'subianto', 'subianto', 'puji', 'pimpin', 'jokowi', 'kendali', 'pandemi', 'covid', 'suara', 'surabaya']"
Sat Jul 08 16:16:29 +0000 2023,1677713273523965957,0,1,0,0,in,1012375226833702912,1677713273523965957,kana_cchii,https://twitter.com/kana_cchii/status/1677713273523965957,mikiya cowo dulu jg nangis pas disuruh balik ke jepang pas itu covid lagi rame ramenya jadi wna di indo pada dipulangkan ke negaranya sedangkan si mikiya ini studinya di surabaya blm selesai uda gitu dah betah di indonesia beh nangis banget dia kasian pokoknya,"['mikiya', 'cowo', 'jg', 'nang', 'pas', 'suruh', 'jepang', 'pas', 'covid', 'rame', 'ramenya', 'wna', 'indo', 'pulang', 'negara', 'si', 'mikiya', 'studi', 'surabaya', 'blm', 'selesai', 'uda', 'gitu', 'dah', 'betah', 'indonesia', 'beh', 'nang', 'banget', 'kasi', 'pokok']"
Sat Jul 08 03:00:00 +0000 2023,1677512831791681539,0,0,1,9,in,221832208,1677512831791681539,SoeTjenMarching,https://twitter.com/SoeTjenMarching/status/1677512831791681539,sesudah covid seharusnya manusia belajar untuk tidak menyianyiakan binatang tapi yang terjadi di surabaya kebun binatangnya malah dibuka kembali tanpa memperhatikan kesejahteraan binatang   salah satu contoh yang paling menyolok adalah wahana menunggangi gajah,"['covid', 'manusia', 'ajar', 'menyianyiakan', 'binatang', 'surabaya', 'kebun', 'binatang', 'buka', 'perhati', 'sejahtera', 'binatang', 'salah', 'contoh', 'solok', 'wahana', 'tunggang', 'gajah']"
Tue Jul 04 04:11:19 +0000 2023,1676081226581680129,0,1,0,0,in,1296736516161454080,1675871089455681536,GubernurG5,https://twitter.com/GubernurG5/status/1676081226581680129,sebenarnya lebih bisa ya di surabaya barat aku udah g lagi di dalam pemkot sejak pak eri jadi g tau plan beliau dan tim nya apa karena kalau dulu plan nya itu udah ketata karena covid juga beberapa plan transum dan akses pelebaran jalan dan memperbaiki tata kota jadi buyar,"['ya', 'surabaya', 'barat', 'udah', 'g', 'pemkot', 'eri', 'g', 'tau', 'plan', 'beliau', 'tim', 'nya', 'plan', 'nya', 'udah', 'tata', 'covid', 'plan', 'transum', 'akses', 'lebar', 'jalan', 'baik', 'tata', 'kota', 'buyar']"
Sat Jul 01 05:42:28 +0000 2023,1675017001683779585,0,0,0,0,in,79130206,1675017001683779585,jpnncom,https://twitter.com/jpnncom/status/1675017001683779585,jadwal dan lokasi vaksin covid surabaya hari ini  juli     artikel ini telah tayang dijpnncomdengan judul jadwal dan lokasi vaksin covid surabaya hari ini  juli,"['jadwal', 'lokasi', 'vaksin', 'covid', 'surabaya', 'juli', 'artikel', 'tayang', 'dijpnncomdengan', 'judul', 'jadwal', 'lokasi', 'vaksin', 'covid', 'surabaya', 'juli']"
Fri Jun 30 02:52:15 +0000 2023,1674611778247094273,0,0,0,0,in,79130206,1674611778247094273,jpnncom,https://twitter.com/jpnncom/status/1674611778247094273,jadwal dan lokasi vaksin covid surabaya hari ini  juni,"['jadwal', 'lokasi', 'vaksin', 'covid', 'surabaya', 'juni']"
Thu Jun 29 16:41:02 +0000 2023,1674457960859455489,0,0,0,0,in,759692754985242625,1674457960859455489,kumparan,https://twitter.com/kumparan/status/1674457960859455489,sebelumnya komunitas tda surabaya secara rutin melakukan sego berkat suroboyo setiap hari senin dan jumat program ini dilakukan di tengah pandemi covid,"['komunitas', 'tda', 'surabaya', 'rutin', 'sego', 'berkat', 'suroboyo', 'senin', 'jumat', 'program', 'pandemi', 'covid']"
